FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Confidence in Policing,Type Of Tenure,Household Type,Gender,Limiting Long-term Physical or Mental Health Condition,Policing Role
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.24,Very or fairly confident,Owned Outright,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,25.51,Not very or not at all confident,All,Adults,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,74.11,Very or fairly confident,Owned Outright,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.87,Not very or not at all confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,55.49,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,27.52,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,24.11,Not very or not at all confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.35,Not very or not at all confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,61.72,Very or fairly confident,Owned Outright,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,32.16,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.21,Not very or not at all confident,All,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,20.33,Not very or not at all confident,All,Pensioners,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.17,Not very or not at all confident,All,All,Female,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,19.26,Not very or not at all confident,All,All,Female,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,58.97,Very or fairly confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,68.39,Very or fairly confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.75,Not very or not at all confident,All,Pensioners,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.99,Not very or not at all confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,21.87,Not very or not at all confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,71.07,Very or fairly confident,All,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,68.15,Very or fairly confident,All,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.18,Not very or not at all confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,25.69,Not very or not at all confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,21.94,Not very or not at all confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,60.82,Very or fairly confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.13,Not very or not at all confident,All,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,22.74,Not very or not at all confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.91,Not very or not at all confident,All,Pensioners,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,67.7,Very or fairly confident,All,Pensioners,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.24,Very or fairly confident,All,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.15,Not very or not at all confident,All,Pensioners,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,29.21,Not very or not at all confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,22.67,Not very or not at all confident,All,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,53.88,Very or fairly confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,67.77,Very or fairly confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,56.37,Very or fairly confident,All,Pensioners,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,62.04,Very or fairly confident,All,Pensioners,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,25.4,Not very or not at all confident,All,All,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,59.94,Very or fairly confident,All,Adults,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.66,Not very or not at all confident,Rented,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,69.92,Very or fairly confident,Rented,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.85,Very or fairly confident,Rented,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.91,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,74.13,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.1,Not very or not at all confident,Rented,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,20.38,Not very or not at all confident,Rented,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.03,Very or fairly confident,All,Adults,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,52.18,Very or fairly confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,62.91,Very or fairly confident,Owned Outright,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,20.24,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,77.2,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,54.86,Very or fairly confident,All,Adults,All,All,Catch criminals
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,48.93,Very or fairly confident,All,All,All,Limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,61.64,Very or fairly confident,All,All,All,Limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,72.19,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,55.29,Very or fairly confident,All,All,All,Limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,21.07,Not very or not at all confident,All,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,63.68,Very or fairly confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,23.64,Not very or not at all confident,All,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,59.04,Very or fairly confident,All,All,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.58,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,70.1,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.75,Not very or not at all confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,66.08,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,67.17,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,60.12,Very or fairly confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,58.24,Very or fairly confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.93,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,53.93,Very or fairly confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,63.16,Very or fairly confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,28.41,Not very or not at all confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,57.08,Very or fairly confident,All,All,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,21,Not very or not at all confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,23.44,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,29.95,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,67.65,Very or fairly confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.96,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,68.54,Very or fairly confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,63.57,Very or fairly confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.53,Not very or not at all confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,20.97,Not very or not at all confident,All,All,All,No limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,74.94,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,24.09,Not very or not at all confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.66,Not very or not at all confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,60.66,Very or fairly confident,All,All,All,Limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,63.06,Very or fairly confident,All,All,All,No limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,68.48,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,62.08,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,22.4,Not very or not at all confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,65.12,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,31.34,Not very or not at all confident,Owned Outright,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,70.03,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,22.23,Not very or not at all confident,Owned Outright,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.57,Not very or not at all confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,31.59,Not very or not at all confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,23.98,Not very or not at all confident,All,Pensioners,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.99,Not very or not at all confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,34,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,70.41,Very or fairly confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,26.82,Not very or not at all confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,64.03,Very or fairly confident,All,All,All,Limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,40.56,Not very or not at all confident,All,All,All,Limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,29.07,Not very or not at all confident,All,All,All,Limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,51.1,Very or fairly confident,All,All,All,Limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,22.05,Not very or not at all confident,All,Pensioners,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.43,Not very or not at all confident,All,Pensioners,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,29.11,Not very or not at all confident,All,All,All,Limiting condition,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.86,Not very or not at all confident,All,All,Male,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,18.65,Not very or not at all confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,34.42,Not very or not at all confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,73.17,Very or fairly confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,20.27,Not very or not at all confident,All,All,Male,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.3,Not very or not at all confident,All,All,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,57.93,Very or fairly confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,62.55,Very or fairly confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,77.8,Very or fairly confident,All,All,Male,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,73.84,Very or fairly confident,All,All,Male,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,25.89,Not very or not at all confident,All,Adults,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,55.68,Very or fairly confident,All,With Children,All,All,Prevent crime
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,69.88,Very or fairly confident,All,All,Male,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,17.1,Not very or not at all confident,All,All,Male,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,72.33,Very or fairly confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,68,Very or fairly confident,All,Adults,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,25.62,Not very or not at all confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,62.02,Very or fairly confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,75.68,Very or fairly confident,All,Adults,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.54,Not very or not at all confident,Rented,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,20.71,Not very or not at all confident,Rented,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,73.09,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,18.09,Not very or not at all confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,24.14,Not very or not at all confident,All,All,All,Limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.99,Not very or not at all confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,20.76,Not very or not at all confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,67.18,Very or fairly confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,76.78,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,30.48,Not very or not at all confident,Owned Outright,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2014,Percent,Percent Of Adults,60.52,Very or fairly confident,All,All,All,Limiting condition,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,79.51,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,70.58,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,18.88,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,64.63,Very or fairly confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,62.1,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,61.78,Very or fairly confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,75.04,Very or fairly confident,Owned Mortgage/Loan,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.87,Not very or not at all confident,Rented,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,58.06,Very or fairly confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,18.28,Not very or not at all confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2016,Percent,Percent Of Adults,18.68,Not very or not at all confident,Owned Mortgage/Loan,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,65.5,Very or fairly confident,All,All,Female,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,Percent,Percent Of Adults,24.04,Not very or not at all confident,All,All,All,No limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,30.53,Not very or not at all confident,All,All,All,Limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.03,Not very or not at all confident,All,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,9.78,Not very or not at all confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,59.57,Very or fairly confident,All,All,All,No limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,71.84,Very or fairly confident,All,Adults,All,All,Deal with incidents as they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,66.55,Very or fairly confident,All,All,All,No limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.11,Not very or not at all confident,All,All,All,No limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,25.56,Not very or not at all confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.28,Not very or not at all confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,73.5,Very or fairly confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,Percent,Percent Of Adults,13.45,Not very or not at all confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,17.12,Not very or not at all confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,70.91,Very or fairly confident,All,All,All,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.47,Not very or not at all confident,All,Adults,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,52.59,Very or fairly confident,All,All,All,Limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,73.37,Very or fairly confident,All,With Children,All,All,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,Percent,Percent Of Adults,68.9,Very or fairly confident,All,All,Female,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,68.73,Very or fairly confident,All,All,All,Limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2017,Percent,Percent Of Adults,21.42,Not very or not at all confident,Rented,All,All,All,Investigate incidents after they occur
S12000036,City of Edinburgh,Council Area,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.75,Not very or not at all confident,All,All,All,Limiting condition,Solve crimes
S12000036,City of Edinburgh,Council Area,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.2,Not very or not at all confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
S12000036,City of Edinburgh,Council Area,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,69.39,Very or fairly confident,All,All,Male,All,Respond quickly to appropriate calls and information from the public
